estimate,prevalence,ppv,ppv_lower
Q-CHAT-10 rule / LR (E1),0.01,1.0,0.15175168460237745
Q-CHAT-10 rule / LR (E1),0.03,1.0,0.3539075860871136
Q-CHAT-10 rule / LR (E1),0.05,1.0,0.4824454642688915
Q-CHAT-10 rule / LR (E1),0.1,1.0,0.6630615136747284
1D CNN (E1),0.01,1.0,0.14869056996741215
1D CNN (E1),0.03,1.0,0.34844371506579636
1D CNN (E1),0.05,1.0,0.47646057320923024
1D CNN (E1),0.1,1.0,0.6576832687527551
Published Q-CHAT-10$^{a}$,0.01,0.07711864406779663,
Published Q-CHAT-10$^{a}$,0.03,0.20373134328358214,
Published Q-CHAT-10$^{a}$,0.05,0.3033333333333334,
Published Q-CHAT-10$^{a}$,0.1,0.4789473684210527,
