model,seed,accuracy,precision,recall (sensitivity),specificity,f1,roc_auc
Q-CHAT-10 rule,0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,0,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),0,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.9994775339602926
KNN,0,0.9478672985781991,1.0,0.9241379310344827,1.0,0.9605734767025089,0.9928944618599791
Decision Tree,0,0.8815165876777251,0.9054054054054054,0.9241379310344827,0.7878787878787878,0.9146757679180887,0.8944096133751306
Random Forest,0,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9976489028213166
Gradient Boosting,0,0.9715639810426541,0.9727891156462585,0.9862068965517241,0.9393939393939394,0.9794520547945206,0.9980146290491119
Naive Bayes,0,0.957345971563981,0.9533333333333334,0.9862068965517241,0.8939393939393939,0.9694915254237289,0.9939393939393939
1D CNN,0,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
Q-CHAT-10 rule,1,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Logistic Regression,1,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),1,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1,0.966824644549763,0.9859154929577465,0.9655172413793104,0.9696969696969697,0.975609756097561,0.9969174503657263
Decision Tree,1,0.8483412322274881,0.8843537414965986,0.896551724137931,0.7424242424242424,0.8904109589041096,0.8648902821316614
Random Forest,1,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9998955067920585
Gradient Boosting,1,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,1,0.966824644549763,0.96,0.993103448275862,0.9090909090909091,0.976271186440678,0.996133751306165
1D CNN,1,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,2,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,2,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),2,0.985781990521327,1.0,0.9793103448275862,1.0,0.9895470383275261,1.0
KNN,2,0.966824644549763,1.0,0.9517241379310345,1.0,0.9752650176678446,0.9981191222570532
Decision Tree,2,0.8767772511848341,0.9407407407407408,0.8758620689655172,0.8787878787878788,0.9071428571428571,0.9265935214211076
Random Forest,2,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.999582027168234
Gradient Boosting,2,0.981042654028436,1.0,0.9724137931034482,1.0,0.986013986013986,0.9992685475444096
Naive Bayes,2,0.966824644549763,0.9662162162162162,0.9862068965517241,0.9242424242424242,0.9761092150170648,0.9910135841170324
1D CNN,2,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,3,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Logistic Regression,3,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),3,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9993730407523511
KNN,3,0.957345971563981,0.9857142857142858,0.9517241379310345,0.9696969696969697,0.968421052631579,0.9936259143155696
Decision Tree,3,0.8862559241706162,0.9290780141843972,0.903448275862069,0.8484848484848485,0.916083916083916,0.8996865203761756
Random Forest,3,0.9715639810426541,0.9602649006622517,1.0,0.9090909090909091,0.9797297297297297,0.9985370950888193
Gradient Boosting,3,0.976303317535545,0.9861111111111112,0.9793103448275862,0.9696969696969697,0.9826989619377162,0.9980146290491119
Naive Bayes,3,0.9241706161137441,0.9271523178807947,0.9655172413793104,0.8333333333333334,0.9459459459459459,0.9821316614420061
1D CNN,3,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9998955067920585
Q-CHAT-10 rule,4,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,4,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),4,1.0,1.0,1.0,1.0,1.0,1.0
KNN,4,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,0.9998432601880877
Decision Tree,4,0.9004739336492891,0.9305555555555556,0.9241379310344827,0.8484848484848485,0.9273356401384083,0.9218913270637409
Random Forest,4,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9998955067920585
Gradient Boosting,4,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9998955067920585
Naive Bayes,4,0.943127962085308,0.9463087248322147,0.9724137931034482,0.8787878787878788,0.9591836734693877,0.9724137931034483
1D CNN,4,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,5,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,5,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),5,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
KNN,5,0.966824644549763,0.9791666666666666,0.9724137931034482,0.9545454545454546,0.9757785467128027,0.9968652037617555
Decision Tree,5,0.943127962085308,0.965034965034965,0.9517241379310345,0.9242424242424242,0.9583333333333334,0.9538140020898641
Random Forest,5,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9995297805642634
Gradient Boosting,5,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,1.0
Naive Bayes,5,0.9620853080568721,0.959731543624161,0.9862068965517241,0.9090909090909091,0.9727891156462585,0.9861024033437826
1D CNN,5,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,6,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,6,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),6,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,0.9998955067920585
KNN,6,0.9715639810426541,1.0,0.9586206896551724,1.0,0.9788732394366197,0.9966562173458725
Decision Tree,6,0.8957345971563981,0.9300699300699301,0.9172413793103448,0.8484848484848485,0.9236111111111112,0.9370950888192267
Random Forest,6,0.990521327014218,0.9863945578231292,1.0,0.9696969696969697,0.9931506849315068,0.9993730407523511
Gradient Boosting,6,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,0.9994775339602925
Naive Bayes,6,0.9620853080568721,0.959731543624161,0.9862068965517241,0.9090909090909091,0.9727891156462585,0.9861024033437826
1D CNN,6,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,1.0
Q-CHAT-10 rule,7,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,7,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),7,1.0,1.0,1.0,1.0,1.0,1.0
KNN,7,0.976303317535545,1.0,0.9655172413793104,1.0,0.9824561403508771,0.9972309299895507
Decision Tree,7,0.9004739336492891,0.9305555555555556,0.9241379310344827,0.8484848484848485,0.9273356401384083,0.9121734587251829
Random Forest,7,0.9715639810426541,0.9602649006622517,1.0,0.9090909090909091,0.9797297297297297,0.9998432601880877
Gradient Boosting,7,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9994775339602925
Naive Bayes,7,0.9715639810426541,0.9664429530201343,0.993103448275862,0.9242424242424242,0.9795918367346939,0.9940438871473355
1D CNN,7,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 rule,8,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,8,1.0,1.0,1.0,1.0,1.0,1.0
SVM (RBF),8,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,0.9998955067920585
KNN,8,0.9715639810426541,0.9929078014184397,0.9655172413793104,0.9848484848484849,0.9790209790209791,0.9975444096133751
