subset,model,seed,accuracy,precision,recall (sensitivity),specificity,f1,roc_auc
Q-CHAT-10 items only,Logistic Regression,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Q-CHAT-10 items only,Random Forest,0,0.9715639810426541,0.9727891156462585,0.9862068965517241,0.9393939393939394,0.9794520547945206,0.9957157784743991
Q-CHAT-10 items only,1D CNN,0,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Logistic Regression,1,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Random Forest,1,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.9992685475444096
Q-CHAT-10 items only,1D CNN,1,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
Q-CHAT-10 items only,Logistic Regression,2,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Random Forest,2,0.976303317535545,0.9929577464788732,0.9724137931034482,0.9848484848484849,0.9825783972125436,0.9993730407523511
Q-CHAT-10 items only,1D CNN,2,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Logistic Regression,3,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Random Forest,3,0.976303317535545,0.9861111111111112,0.9793103448275862,0.9696969696969697,0.9826989619377162,0.9964472309299895
Q-CHAT-10 items only,1D CNN,3,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Logistic Regression,4,1.0,1.0,1.0,1.0,1.0,1.0
Q-CHAT-10 items only,Random Forest,4,0.985781990521327,0.9863013698630136,0.993103448275862,0.9696969696969697,0.9896907216494846,0.9993730407523511
Q-CHAT-10 items only,1D CNN,4,1.0,1.0,1.0,1.0,1.0,1.0
Demographics only,Logistic Regression,0,0.6777251184834123,0.6878048780487804,0.9724137931034482,0.030303030303030304,0.8057142857142857,0.5124869383490073
Demographics only,Random Forest,0,0.5924170616113744,0.695364238410596,0.7241379310344828,0.30303030303030304,0.7094594594594594,0.5077324973876698
Demographics only,1D CNN,0,0.6872037914691943,0.6872037914691943,1.0,0.0,0.8146067415730337,0.5255485893416928
Demographics only,Logistic Regression,1,0.6919431279620853,0.6904761904761905,1.0,0.015151515151515152,0.8169014084507042,0.4981191222570533
Demographics only,Random Forest,1,0.6113744075829384,0.7086092715231788,0.7379310344827587,0.3333333333333333,0.722972972972973,0.5333855799373042
Demographics only,1D CNN,1,0.6872037914691943,0.6872037914691943,1.0,0.0,0.8146067415730337,0.5274817136886103
Demographics only,Logistic Regression,2,0.6777251184834123,0.6859903381642513,0.9793103448275862,0.015151515151515152,0.8068181818181818,0.6164576802507837
Demographics only,Random Forest,2,0.5971563981042654,0.6829268292682927,0.7724137931034483,0.21212121212121213,0.7249190938511327,0.5464994775339602
Demographics only,1D CNN,2,0.6872037914691943,0.6872037914691943,1.0,0.0,0.8146067415730337,0.5938871473354232
Demographics only,Logistic Regression,3,0.6729857819905213,0.6826923076923077,0.9793103448275862,0.0,0.8045325779036827,0.5384535005224661
Demographics only,Random Forest,3,0.6113744075829384,0.6981132075471698,0.7655172413793103,0.2727272727272727,0.7302631578947368,0.5174503657262278
Demographics only,1D CNN,3,0.6872037914691943,0.6872037914691943,1.0,0.0,0.8146067415730337,0.515778474399164
Demographics only,Logistic Regression,4,0.6777251184834123,0.6842105263157895,0.9862068965517241,0.0,0.807909604519774,0.5416927899686521
Demographics only,Random Forest,4,0.6587677725118484,0.7109826589595376,0.8482758620689655,0.24242424242424243,0.7735849056603774,0.5439916405433648
Demographics only,1D CNN,4,0.6872037914691943,0.6872037914691943,1.0,0.0,0.8146067415730337,0.5445141065830721
All features,Logistic Regression,0,1.0,1.0,1.0,1.0,1.0,1.0
All features,Random Forest,0,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9976489028213166
All features,1D CNN,0,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
All features,Logistic Regression,1,1.0,1.0,1.0,1.0,1.0,1.0
All features,Random Forest,1,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9998955067920585
All features,1D CNN,1,1.0,1.0,1.0,1.0,1.0,1.0
All features,Logistic Regression,2,1.0,1.0,1.0,1.0,1.0,1.0
All features,Random Forest,2,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.999582027168234
All features,1D CNN,2,1.0,1.0,1.0,1.0,1.0,1.0
All features,Logistic Regression,3,1.0,1.0,1.0,1.0,1.0,1.0
All features,Random Forest,3,0.9715639810426541,0.9602649006622517,1.0,0.9090909090909091,0.9797297297297297,0.9985370950888193
All features,1D CNN,3,1.0,1.0,1.0,1.0,1.0,1.0
All features,Logistic Regression,4,1.0,1.0,1.0,1.0,1.0,1.0
All features,Random Forest,4,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.9998955067920585
All features,1D CNN,4,1.0,1.0,1.0,1.0,1.0,1.0
