,Random Forest,1D CNN
A1,0.022601880877742942,0.015559038662486934
A2,0.006891327063740893,0.005402298850574727
A3,0.007079414838035569,0.0042842215256008506
A4,0.00904388714733545,0.010543364681295696
A5,0.009420062695924769,0.006551724137931025
A6,0.0066823406478579315,0.004764890282131662
A7,0.005694879832810884,0.0060083594566352925
A8,0.007988505747126484,0.008913270637408554
A9,0.004299895506792129,0.003918495297805624
A10,0.011572622779519325,0.006938349007314526
Age,-5.2246603970729225e-05,0.0
Sex,-5.2246603970729225e-05,0.0001462904911180729
Jaundice,-2.6123301985370162e-05,0.0
Family ASD,-6.269592476486619e-05,0.0
Ethnicity,-0.0001619644723092839,0.0
Respondent,0.0,0.0
