order,seed,accuracy,precision,recall (sensitivity),specificity,f1,roc_auc
Original (items first),0,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,1.0
Original (items first),1,1.0,1.0,1.0,1.0,1.0,1.0
Original (items first),2,1.0,1.0,1.0,1.0,1.0,1.0
Original (items first),3,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9998955067920585
Original (items first),4,1.0,1.0,1.0,1.0,1.0,1.0
Reversed (items last),0,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,0.9998955067920585
Random permutation 1,0,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9993730407523511
Random permutation 2,0,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9998955067920585
Random permutation 3,0,0.985781990521327,1.0,0.9793103448275862,1.0,0.9895470383275261,0.999791013584117
Reversed (items last),1,1.0,1.0,1.0,1.0,1.0,1.0
Random permutation 1,1,0.985781990521327,0.9797297297297297,1.0,0.9545454545454546,0.9897610921501706,0.999791013584117
Random permutation 2,1,0.981042654028436,0.9731543624161074,1.0,0.9393939393939394,0.9863945578231292,0.999791013584117
Random permutation 3,1,1.0,1.0,1.0,1.0,1.0,1.0
Reversed (items last),2,0.995260663507109,0.9931506849315068,1.0,0.9848484848484849,0.9965635738831615,1.0
Random permutation 1,2,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.9995820271682341
Random permutation 2,2,0.985781990521327,0.9930555555555556,0.9862068965517241,0.9848484848484849,0.9896193771626297,0.9985370950888193
Random permutation 3,2,1.0,1.0,1.0,1.0,1.0,1.0
Reversed (items last),3,0.995260663507109,1.0,0.993103448275862,1.0,0.9965397923875432,0.9998955067920585
Random permutation 1,3,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.9985370950888193
Random permutation 2,3,0.990521327014218,0.993103448275862,0.993103448275862,0.9848484848484849,0.993103448275862,0.999791013584117
Random permutation 3,3,0.981042654028436,0.9795918367346939,0.993103448275862,0.9545454545454546,0.9863013698630136,0.9994775339602926
Reversed (items last),4,1.0,1.0,1.0,1.0,1.0,1.0
Random permutation 1,4,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,0.9994775339602926
Random permutation 2,4,0.990521327014218,1.0,0.9862068965517241,1.0,0.9930555555555556,0.9998955067920585
Random permutation 3,4,1.0,1.0,1.0,1.0,1.0,1.0
